lat_rounded,lng_rounded,price,m2,unit_price
39.8945,32.6968,1425000,276.0,5163.04347826087
39.863,32.859,620000,240.0,2583.3333333333335
39.9197,32.8591,359000,165.0,2175.757575757576
39.9191,32.8611,365000,120.0,3041.6666666666665
39.9231,32.8563,350000,120.0,2916.6666666666665
39.9226,32.8325,575000,120.0,4791.666666666667
39.9088,32.8223,695000,280.0,2482.1428571428573
39.9266,32.8229,365000,95.0,3842.1052631578946
39.9302,32.845,350000,145.0,2413.793103448276
39.9223,32.8527,370000,140.0,2642.8571428571427
39.92,32.8572,197000,160.0,1231.25
39.8841,32.8522,600000,160.0,3750.0
39.8875,32.8293,455000,220.0,2068.181818181818
39.9231,32.8563,205000,140.0,1464.2857142857142
39.9241,32.8516,325000,135.0,2407.4074074074074
39.891,32.8278,375000,145.0,2586.206896551724
39.8836,32.855,445000,120.0,3708.3333333333335
39.9144,32.858,250000,85.0,2941.176470588235
39.9044,32.8586,395000,130.0,3038.4615384615386
39.9247,32.8257,650000,120.0,5416.666666666667
39.9102,32.8629,410000,170.0,2411.764705882353
39.9204,32.8491,230000,65.0,3538.4615384615386
39.9188,32.8528,545000,145.0,3758.6206896551726
39.8649,32.8269,255000,220.0,1159.090909090909
39.9199,32.8573,245000,88.0,2784.090909090909
39.8716,32.8602,370000,180.0,2055.5555555555557
39.9179,32.8565,360000,125.0,2880.0
39.9199,32.858,475000,190.0,2500.0
39.9003,32.8172,385000,130.0,2961.5384615384614
39.8909,32.8243,345000,150.0,2300.0
39.9182,32.8564,400000,135.0,2962.962962962963
39.8839,32.828,320000,125.0,2560.0
39.8647,32.8622,450000,155.0,2903.2258064516127
39.9226,32.8507,310000,230.0,1347.8260869565217
39.9216,32.8497,225000,70.0,3214.285714285714
39.8963,32.8734,450000,150.0,3000.0
39.9176,32.8554,455000,120.0,3791.6666666666665
39.8986,32.8747,490000,212.0,2311.3207547169814
39.909,32.86,350000,110.0,3181.818181818182
39.9295,32.8459,285000,150.0,1900.0
39.9219,32.8474,305000,120.0,2541.6666666666665
39.9189,32.8594,625000,210.0,2976.190476190476
39.9057,32.8167,475000,120.0,3958.3333333333335
39.928,32.8465,365000,125.0,2920.0
39.9135,32.8568,230000,115.0,2000.0
39.8926,32.8349,199000,90.0,2211.1111111111113
39.8623,32.8122,275000,100.0,2750.0
39.903,32.8601,850000,170.0,5000.0
39.8943,32.86,320000,150.0,2133.3333333333335
39.9212,32.8471,315000,100.0,3150.0
39.9275,32.8529,300000,160.0,1875.0
39.8936,32.8243,210000,120.0,1750.0
39.9223,32.8498,385000,150.0,2566.6666666666665
39.9344,32.8387,260000,100.0,2600.0
39.9177,32.8561,495000,145.0,3413.793103448276
39.8873,32.8723,436000,180.0,2422.222222222222
39.9148,32.8582,290000,115.0,2521.7391304347825
39.9248,32.8518,163000,85.0,1917.6470588235295
39.8914,32.8403,180000,80.0,2250.0
39.9136,32.8572,285000,125.0,2280.0
39.9194,32.8578,265000,120.0,2208.3333333333335
39.8878,32.8251,245000,120.0,2041.6666666666667
39.8939,32.8784,530000,220.0,2409.090909090909
39.8689,32.8564,295000,140.0,2107.1428571428573
39.9253,32.8449,360000,120.0,3000.0
39.8883,32.8262,185000,90.0,2055.5555555555557
39.8945,32.8294,600000,240.0,2500.0
39.9004,32.8748,280000,70.0,4000.0
39.8867,32.8256,260000,130.0,2000.0
39.8919,32.8739,185000,80.0,2312.5
39.9223,32.8613,220000,150.0,1466.6666666666667
39.9185,32.8585,269999,115.0,2347.817391304348
39.8972,32.8755,210000,140.0,1500.0
39.9091,32.8174,600000,200.0,3000.0
39.8823,32.8496,305000,105.0,2904.7619047619046
39.9115,32.8575,184000,100.0,1840.0
39.8976,32.8144,360000,130.0,2769.230769230769
39.9226,32.8513,375000,120.0,3125.0
39.9206,32.8521,230000,100.0,2300.0
39.8634,32.6439,550000,165.0,3333.3333333333335
39.9189,32.8596,170000,70.0,2428.5714285714284
39.8287,32.7116,450000,97.0,4639.1752577319585
39.9093,32.8203,475000,200.0,2375.0
39.9324,32.8325,425000,115.0,3695.6521739130435
39.8792,32.8802,355000,130.0,2730.769230769231
39.9232,32.8497,260000,98.0,2653.061224489796
39.8829,32.818,410000,150.0,2733.3333333333335
39.9201,32.8512,345000,120.0,2875.0
39.8958,32.8537,430000,125.0,3440.0
39.9334,32.835,335000,120.0,2791.6666666666665
39.8911,32.8263,155000,115.0,1347.8260869565217
39.8937,32.8566,350000,120.0,2916.6666666666665
39.9224,32.8526,315000,120.0,2625.0
39.9199,32.852,190000,70.0,2714.285714285714
39.8916,32.8551,260000,110.0,2363.6363636363635
39.9223,32.851,495000,145.0,3413.793103448276
39.8976,32.819,290000,120.0,2416.6666666666665
39.8965,32.8546,325000,130.0,2500.0
39.9241,32.8502,169999,115.0,1478.2521739130434
39.9077,32.8615,495000,210.0,2357.1428571428573
39.874,32.86,680000,230.0,2956.521739130435
39.8924,32.8413,205000,120.0,1708.3333333333333
39.892,32.875,1025000,220.0,4659.090909090909
39.9317,32.8301,210000,90.0,2333.3333333333335
39.9069,32.8593,565000,150.0,3766.6666666666665
39.8491,32.8217,175000,45.0,3888.8888888888887
39.9121,32.8571,250000,120.0,2083.3333333333335
39.923,32.8525,275000,190.0,1447.3684210526317
39.9054,32.8645,430000,130.0,3307.6923076923076
39.9126,32.8564,500000,120.0,4166.666666666667
39.9224,32.8611,270000,90.0,3000.0
39.9178,32.8581,410000,120.0,3416.6666666666665
39.8966,32.8565,480000,150.0,3200.0
39.9071,32.8607,425000,110.0,3863.6363636363635
39.9224,32.8477,345000,120.0,2875.0
39.9181,32.8576,386000,170.0,2270.5882352941176
39.9118,32.7567,900000,150.0,6000.0
39.9267,32.823,365000,95.0,3842.1052631578946
39.8944,32.8264,385000,150.0,2566.6666666666665
39.8932,32.8749,750000,280.0,2678.5714285714284
39.8972,32.8586,1150000,233.0,4935.622317596567
39.922,32.85,275000,125.0,2200.0
39.887,32.8763,335000,140.0,2392.8571428571427
39.8801,32.8392,130000,90.0,1444.4444444444443
39.894,32.8244,425000,135.0,3148.1481481481483
39.9208,32.8268,1100000,180.0,6111.111111111111
39.9149,32.7728,880000,200.0,4400.0
39.8318,32.6589,185000,130.0,1423.076923076923
39.8944,32.8206,430000,160.0,2687.5
39.9027,32.8604,850000,190.0,4473.684210526316
39.8771,32.812,250000,60.0,4166.666666666667
39.9319,32.8436,340000,110.0,3090.909090909091
39.9296,32.8267,500000,135.0,3703.703703703704
39.9141,32.7674,745000,180.0,4138.888888888889
39.8993,32.8176,325000,84.0,3869.0476190476193
39.8955,32.8712,295000,120.0,2458.3333333333335
39.9315,32.8431,345000,168.0,2053.5714285714284
39.9005,32.8568,780000,200.0,3900.0
39.8716,32.8611,330000,135.0,2444.4444444444443
39.8935,32.8262,200000,90.0,2222.222222222222
39.8989,32.8601,520000,155.0,3354.8387096774195
39.9149,32.855,225000,100.0,2250.0
39.9239,32.8592,375000,160.0,2343.75
39.8869,32.8173,480000,140.0,3428.5714285714284
39.8919,32.8566,850000,240.0,3541.6666666666665
39.918,32.8534,325000,95.0,3421.0526315789475
39.9222,32.8499,275000,125.0,2200.0
39.9245,32.8592,185000,75.0,2466.6666666666665
39.9217,32.8585,315000,120.0,2625.0
39.9151,32.8549,435000,135.0,3222.222222222222
39.8839,32.8729,359000,140.0,2564.285714285714
39.8982,32.8488,535000,185.0,2891.891891891892
39.9286,32.8502,250000,100.0,2500.0
39.8972,32.8586,1000000,224.0,4464.285714285715
39.9226,32.8565,248000,90.0,2755.5555555555557
39.8912,32.8284,248000,110.0,2254.5454545454545
39.881,32.8053,465000,125.0,3720.0
39.9116,32.8574,295000,115.0,2565.217391304348
39.8962,32.8367,449000,280.0,1603.5714285714287
39.8754,32.8607,483000,170.0,2841.176470588235
39.9209,32.8524,345000,160.0,2156.25
39.8939,32.8722,450000,150.0,3000.0
39.9117,32.8572,295000,115.0,2565.217391304348
39.9195,32.8565,220000,80.0,2750.0
39.9184,32.8576,425000,145.0,2931.0344827586205
39.8745,32.8608,275000,120.0,2291.6666666666665
39.9131,32.7677,600000,190.0,3157.8947368421054
39.8792,32.88,280000,95.0,2947.3684210526317
39.9205,32.8496,230000,80.0,2875.0
39.8726,32.8632,400000,170.0,2352.9411764705883
39.8726,32.6469,280000,95.0,2947.3684210526317
39.891,32.8244,520000,180.0,2888.8888888888887
39.915,32.8573,200000,70.0,2857.1428571428573
39.8992,32.8776,285000,170.0,1676.4705882352941
39.9324,32.8297,850000,180.0,4722.222222222223
39.9216,32.86,309000,110.0,2809.090909090909
39.894,32.8276,269000,160.0,1681.25
39.8984,32.8784,345000,120.0,2875.0
39.9268,32.8572,159000,70.0,2271.4285714285716
39.9228,32.8257,1000000,180.0,5555.555555555556
39.9303,32.8422,340000,95.0,3578.9473684210525
39.9237,32.8511,185000,60.0,3083.3333333333335
39.8967,32.8586,268000,125.0,2144.0
39.8916,32.8598,350000,100.0,3500.0
39.9223,32.856,399500,180.0,2219.4444444444443
39.9253,32.8596,275000,115.0,2391.304347826087
39.9134,32.8571,275000,90.0,3055.5555555555557
39.9257,32.8242,750000,120.0,6250.0
39.904,32.8111,850000,195.0,4358.974358974359
39.9244,32.8481,261000,100.0,2610.0
39.8746,32.8625,315000,135.0,2333.3333333333335
39.8932,32.8537,625000,200.0,3125.0
39.8954,32.8359,257000,187.0,1374.331550802139
39.8911,32.8534,340000,125.0,2720.0
39.9003,32.8561,820000,280.0,2928.5714285714284
39.9096,32.8621,415000,120.0,3458.3333333333335
39.9224,32.856,399500,180.0,2219.4444444444443
39.9172,32.8576,310000,115.0,2695.6521739130435
39.8786,32.8795,280000,110.0,2545.4545454545455
39.9275,32.8535,235000,100.0,2350.0
39.883,32.8243,225000,90.0,2500.0
39.9237,32.8479,195000,90.0,2166.6666666666665
39.8697,32.8597,330000,140.0,2357.1428571428573
39.9206,32.8303,535000,110.0,4863.636363636364
39.8933,32.8736,355000,130.0,2730.769230769231
39.8691,32.8588,550000,270.0,2037.037037037037
39.9238,32.8483,165000,76.0,2171.0526315789475
39.9222,32.8606,255000,100.0,2550.0
39.8735,32.8581,620000,105.0,5904.761904761905
39.8822,32.8182,440000,160.0,2750.0
39.8934,32.8543,595000,190.0,3131.5789473684213
39.8887,32.854,460000,120.0,3833.3333333333335
39.8839,32.8846,220000,90.0,2444.4444444444443
39.8944,32.8764,287500,120.0,2395.8333333333335
39.9288,32.8451,435000,155.0,2806.451612903226
39.9228,32.851,258000,125.0,2064.0
39.9074,32.8063,1170000,190.0,6157.894736842105
39.911,32.8581,425000,145.0,2931.0344827586205
39.8945,32.8777,285000,110.0,2590.909090909091
39.8755,32.8607,445000,198.0,2247.4747474747473
39.8865,32.8157,260000,50.0,5200.0
39.8968,32.8801,295000,125.0,2360.0
39.9141,32.8579,250000,90.0,2777.777777777778
39.9242,32.8518,285000,135.0,2111.1111111111113
39.921,32.8602,300000,140.0,2142.8571428571427
39.9229,32.8609,555000,210.0,2642.8571428571427
39.9235,32.8506,600000,130.0,4615.384615384615
39.8978,32.6929,1100000,210.0,5238.0952380952385
39.9214,32.8195,355000,80.0,4437.5
39.9314,32.8263,260000,70.0,3714.285714285714
39.8664,32.8588,360000,160.0,2250.0
39.9017,32.8773,150000,115.0,1304.3478260869565
39.9164,32.7679,815000,250.0,3260.0
39.8971,32.8586,550000,112.0,4910.714285714285
39.9257,32.8493,150000,70.0,2142.8571428571427
39.9196,32.8586,210000,190.0,1105.2631578947369
39.9225,32.8603,445000,150.0,2966.6666666666665
39.9233,32.8236,415000,140.0,2964.285714285714
39.9191,32.8581,330000,160.0,2062.5
39.8865,32.8754,359000,140.0,2564.285714285714
39.9325,32.8289,385000,100.0,3850.0
39.8579,32.7495,330000,200.0,1650.0
39.9336,32.8322,450000,135.0,3333.3333333333335
39.9213,32.8583,350000,120.0,2916.6666666666665
39.8619,32.8566,300000,150.0,2000.0
39.923,32.8503,377000,170.0,2217.6470588235293
39.9098,32.7672,900000,170.0,5294.117647058823
39.8977,32.6933,1100000,210.0,5238.0952380952385
39.924,32.8516,185000,70.0,2642.8571428571427
39.9283,32.8711,400000,135.0,2962.962962962963
